observation,reference,error
18.25,8.270089937906938,9.979910062093062
0.0,7.142292290008134,-7.142292290008134
0.0,6.0962849409634385,-6.0962849409634385
0.0,5.133001291383948,-5.133001291383948
0.0,4.252154699030484,-4.252154699030484
19.0,6.394723685550195,12.605276314449805
18.25,8.253239071534626,9.996760928465374
0.0,7.127768835897776,-7.127768835897776
0.0,6.0839173025652595,-6.0839173025652595
0.0,5.1226164172077135,-5.1226164172077135
0.0,4.24358055781604,-4.24358055781604
19.25,6.426505719461426,12.823494280538574
18.25,8.283250521431663,9.966749478568337
0.0,7.155893709051202,-7.155893709051202
0.0,6.110082095283735,-6.110082095283735
0.0,5.146784491610029,-5.146784491610029
0.0,4.265746909213523,-4.265746909213523
19.25,6.446692142515297,12.803307857484704
18.25,8.301501177354838,9.948498822645162
