created,temperature,humidity,co,h2s,no2,sgp30_tvoc,sgp30_co2,nh3,pm_mass_1_0,pm_mass_2_5,pm_mass_4_0,pm_mass_10,pm_number_0_5,pm_number_1_0,pm_number_2_5,pm_number_4_0,pm_number_10,led_status
2020-12-08 1:28,24.94477272,17.93834114,3834,155,129,73,400,44.54545593,8.85117054,9.524834633,9.658429146,9.685136795,60.16536331,70.19823456,70.62911224,70.67921448,70.69581604,0
2020-12-08 1:18,24.92868614,17.9805851,3624,155,143,77,400,41.51515198,10.25064278,10.96565628,11.06763077,11.08801365,69.81555176,81.3618927,81.80062103,81.84806061,81.86549377,0
2020-12-08 0:48,24.92600632,18.16343117,3178,170,126,91,400,41.81818008,10.86853695,11.61853409,11.72009087,11.74039745,74.04103851,86.27431488,86.73197937,86.78094482,86.79920959,0
2020-12-08 0:38,24.90723991,18.17911911,3493,166,134,104,400,46.0606041,11.92491245,12.61331654,12.61590195,12.61641216,81.52095032,94.79294586,95.17068481,95.20252991,95.21889496,0
2020-12-08 0:28,24.92332458,18.12749863,3020,160,152,98,400,43.63636398,11.34313011,12.17830753,12.3267355,12.35641384,77.16365051,89.98971558,90.51586914,90.57550812,90.5960083,0
2020-12-08 0:18,24.94477272,18.17274666,3282,172,129,107,400,43.9393959,11.14480972,11.83257008,11.87090969,11.87856388,76.09448242,88.54785156,88.94194794,88.97892761,88.99543762,0
2020-12-08 0:08,24.94477272,18.18524933,3597,176,108,105,400,47.87879181,11.30957985,12.04646969,12.11690807,12.13098812,77.13737488,89.81840515,90.25436401,90.2982254,90.3160553,0
2020-12-07 23:58,24.96890068,18.16954422,3518,179,146,100,400,43.03030396,10.34029293,10.94495106,10.95344639,10.95513058,70.67190552,82.18890381,82.52360535,82.55246735,82.5668869,0
2020-12-07 23:48,24.9608593,18.22582626,3203,173,114,104,400,46.0606041,9.771945,10.33346367,10.33347702,10.33347034,66.80834198,77.68125916,77.98838806,78.01406097,78.02740479,0
2020-12-07 23:28,24.99571037,18.30228615,3229,171,131,118,400,44.24242401,10.57797718,11.18581104,11.18582535,11.18581867,72.31897736,84.08874512,84.42120361,84.44898987,84.46343994,0
2020-12-07 23:18,24.99571037,18.28978539,3570,187,123,128,400,45.15151596,11.31963158,12.07849598,12.16624355,12.18377972,77.16100311,89.87713623,90.33319855,90.38056946,90.39899445,0
2020-12-07 23:08,24.97694397,18.28828239,3439,172,137,127,400,44.84848404,10.76864624,11.38933754,11.39089108,11.39118862,73.61853027,85.60256195,85.94278717,85.97138214,85.98614502,0
2020-12-07 22:58,24.93404961,18.31498909,3676,187,123,132,400,41.21212006,11.36257267,12.25577354,12.45024872,12.4891367,77.176651,90.08794403,90.66735077,90.73628998,90.75836945,0
2020-12-07 22:38,24.92332458,18.39784813,3597,170,131,139,400,43.9393959,12.39145279,13.17134666,13.22627831,13.23725986,84.57424164,98.4376297,98.88986206,98.93346405,98.95223236,0
2020-12-07 22:28,24.95013428,18.43213844,3807,158,140,160,400,43.33333588,12.82002163,13.55668926,13.55670643,13.55669785,87.64727783,101.9116898,102.314621,102.3482971,102.365799,0
2020-12-07 22:18,24.96890068,18.49614906,3570,177,149,158,400,43.9393959,13.12944794,14.21644974,14.48560619,14.53943062,89.06185913,104.0422211,104.7625122,104.85112,104.8781281,0
